symbol,calendarYear,GPM,A (SGA),B (RD),C (PPE),D (DEPR),E (CAPEX),F (NR),currentRatio,G (ROA),H (LD/GP),debtToEquity,Net Issuance,Interest - income,Buy =1
BTI,2006,0.7080516288,0,0.005208333333,0.3192997685,0.05107060185,-0.2547468354,0,1.210644509,0.1066606661,0.8055555556,0.8617861012,-1.061895551,2.628205128,0
BTI,2005,0.7038069705,0,0.004418710955,0.3551729392,0.04952003657,-0.2371250707,0,1.011651816,0.09275103669,0.7706841384,0.7628959276,-0.9904580153,-1.172955975,0
BTI,2004,1,0,0.002693164933,0.2007800892,0.03482540862,-0.1177927131,0,1.279279279,0.1590436006,0.5617570579,1.021963169,-0.9943925234,0.1386397608,0
BTI,2003,2.424030274,0,0.002849114043,0.1006166576,0.01861681368,-0.6782884311,0,1.168887512,0.0332472733,0.2376473343,1.358242248,-1.26,0.1205903528,0
BTI,2002,0.002328490566,0,2.51195203,105.4209545,13.6941901,-0.4253472222,0,1.4028838,0.07073560113,187.0999109,0.8906460945,0.01041666667,0.130179828,0
BTI,2001,1,0,0.005188637763,0.2355113886,0.03482543312,-0.5099009901,0,1.237785016,0.05861868833,0.408231466,0.9132402125,0.005217391304,0.156525067,0
BTI,2000,1,0,0.005405405405,0.238204306,0.03673843335,-0.5231213873,0,1.317884406,0.03901448949,0.4641319285,0.9184191443,-1.203478261,0.1910902696,0
BTI,1999,0,0,0.1622477058,6.848595491,0.8960849205,-0.3273701957,0,1.549795918,0.03424910681,17.63700416,0.8800227445,0.004958677686,0.1931106472,0
BTI,1998,1,0,0.006320224719,0.2876404494,0.04171348315,-1.049132948,0,1.194292804,0.04643048846,0.2998595506,5.516795866,0.106870229,0.2229899497,0
BTI,1997,0,0,0.1720530246,7.252005186,0.9482870094,-0.8737864078,0,0.9322702873,0.0481871345,19.10845793,4.359183673,0.04896907216,0.1994579946,0
BTI,1996,1,0,0.005109791465,0.2531418312,0.03190167104,-0.3643724696,0,1.472357933,0.1220958972,0.3213644524,2.263618677,0.01677419355,0.209102091,0
BTI,1995,1,0,0.006350612908,0.2775070152,0.03263919657,-0.4197674419,0,1.483573174,0.1066997519,0.3760153596,2.93656286,0.01165803109,0.1865853659,0
